eindeutige Nummer;name;vorname;Klasse
431CD09B-2D1C-A5C2-05A8-C2A8757AC513;Guthrie;Brenda;5a
BE3FA24E-6C2B-4D78-C0BE-A03C4E2630D3;Wilkinson;Norman;5a
60A717F9-3FFE-D194-A645-31EF2A96D265;Rosa;Eliana;5a
136EF8C9-C222-06BB-8416-B9075B48EC2F;Lopez;Hollee;5a
A7169C5F-403B-B0EE-55DA-BFA6B8A03446;Hill;Aretha;5a
FF5FCFB2-CE42-0C71-4622-24B065A3175E;Hines;Silas;5a
A99DAF32-A8AE-9FC3-16A9-360906758525;Malone;Russell;5a
12381AC7-5849-9CD4-1FC6-C61B63F95B05;Mooney;April;5a
37C7BCF5-DDBA-A339-0F14-11A1864A031D;Bullock;Liberty;5a
F0D3871D-1AC7-CA49-E3A9-73A2C0F43332;Christian;Myra;5a
56E97114-7CA5-ADAD-2924-73E0F5E2DAF6;Davidson;Emerson;5a
63D8068D-0630-FE5B-7CE5-4160666D70AF;Hamilton;Garrett;5a
859E966B-3DD6-B31B-FD3D-598E4882E4CE;Strickland;Garrison;5a
18A1E58A-E905-88D5-8271-6C151D57E09C;Floyd;Scott;5a
87B69A1A-2C87-6B7A-76D8-5967C7A376C7;Malone;Shana;5a
4938A7AF-0E3F-CCB7-48F3-986BB7EA857D;Williamson;Keaton;5a
16BA183C-719C-A739-C622-F33FF023D253;Saunders;Isabelle;5a
057A2094-72E7-C292-B6F1-9D6A29C56040;Donovan;Arthur;5a
4491B07B-E9E2-5824-FD60-49E45B2FC4F2;Gaines;Leo;5a
269DFC79-AF38-A8D2-1BC1-6E5C0F92D92E;Keller;Theodore;5b
62E3339E-9AC3-F1FA-9CDB-D2D75256C06E;Moody;Nyssa;5b
796B740B-7B62-AC44-DF5C-6B8298795555;Bennett;Blossom;5b
455FFE73-F7F0-0A3D-10B6-CDC757E26B88;Thomas;Mohammad;5b
2FCA6E59-5DF4-7859-D54A-92BF1CFDB42B;Jacobs;Tamekah;5b
AC897844-C402-9742-817D-E78647C41934;Wells;Adele;5b
7456ADFE-C35B-C472-0FA9-CD664043FD69;Boyd;Adele;5b
B9E31259-444B-998F-43D1-D62CC9DE57D0;Parrish;Abigail;5b
161327A4-D6AF-AFE5-6ADD-0731851CA12C;Wise;Cheryl;5b
A8991166-34E4-C1D5-7E3C-DB52C108A6F4;Rich;Beverly;5b
A9CD07C3-C0B1-1824-EE3D-15DA03285B48;Little;Martin;5b
B934F95B-9FC9-0C3B-FCEA-4F5E9553B3CF;Bryant;Barbara;5b
A6949088-5346-0753-803D-45033035BC58;Kelley;Clio;5b
B0F023D6-A68E-9A76-0F20-16EA2AC8EF64;Huber;Odessa;5b
DBDA997C-0CC9-2581-E9D2-BF115D9ED575;Heath;Gil;5b
8AD3CC86-0239-F4FF-BD60-5F5580B5A3E4;Woods;Aquila;5b
